,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Animation,Mystery,Romance,Fantasy,Family,Talk-Show,Sci-Fi,\N,Western,Film-Noir,Documentary,Adventure,Biography,Adult,Short,War,Crime,News,Drama,Reality-TV,Horror,Musical,Music,History,Comedy,Game-Show,Sport,Thriller,Action
9552,tt0009682,movie,Tarzan of the Apes,Tarzan of the Apes,0,1918,\N,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9665,tt0009796,movie,The Whispering Chorus,The Whispering Chorus,0,1918,\N,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10328,tt0010466,movie,The Miracle Man,The Miracle Man,0,1919,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11392,tt0011549,movie,Over the Hill to the Poorhouse,Over the Hill to the Poorhouse,0,1920,\N,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11529,tt0011687,movie,Shipwrecked Among Cannibals,Shipwrecked Among Cannibals,0,1920,\N,\N,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11556,tt0011716,movie,Something to Think About,Something to Think About,0,1920,\N,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11679,tt0011841,movie,Way Down East,Way Down East,0,1920,\N,145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11901,tt0012067,movie,A Connecticut Yankee in King Arthur's Court,A Connecticut Yankee in King Arthur's Court,0,1921,\N,80,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12022,tt0012190,movie,The Four Horsemen of the Apocalypse,The Four Horsemen of the Apocalypse,0,1921,\N,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12179,tt0012349,movie,The Kid,The Kid,0,1921,\N,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
